Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;ExposedByStudent;ExposedByWorker;ExposedByRetired;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
50;0;0;190322;368921;178025;79999;297709;4;13;105;0;110;0;0;0;12;0;0;0;0;0;0;1;11;110;0;2;74;8;11;45;0;0;10;0;0;7;0;1;30;0;0;8;0;2;52;6;5;46;563568;199209;145546;0;562646;0;0;70294;10064045141;0;202823;10309;44767;0;
51;0;0;190322;368920;178025;79998;297668;2;8;82;0;86;0;0;0;6;0;0;0;0;0;0;0;3;89;0;3;70;10;7;59;0;0;9;0;0;9;0;0;35;0;1;6;2;3;47;4;11;49;563450;199206;145679;0;563822;1;0;71974;10063970159;0;202587;10309;45003;0;
52;0;0;190322;368919;178024;79998;297626;7;7;67;0;74;0;0;0;7;0;0;0;0;0;0;4;4;73;0;2;78;9;9;66;0;0;6;0;0;6;0;1;35;0;0;7;1;1;37;3;13;52;563868;199119;145586;0;562998;0;0;74108;10063998143;0;202488;10309;45102;0;
53;0;0;190322;368918;178024;79997;297586;3;7;86;0;87;0;0;0;9;0;0;0;0;0;0;3;8;85;0;2;80;10;5;62;0;0;1;0;1;10;0;1;32;0;0;8;0;2;47;3;12;57;562986;199087;145642;0;563092;0;0;75966;10063947437;0;202489;10309;45101;0;
54;0;0;190322;368918;178024;79997;297543;5;13;90;0;99;0;0;0;9;0;0;0;0;0;0;6;5;97;0;4;65;5;7;46;0;0;1;0;0;11;0;0;28;0;0;15;0;4;61;5;20;61;563724;199123;145556;0;562651;0;0;79664;10064032255;0;202626;10309;44964;0;
55;0;0;190322;368918;178024;79997;297505;4;10;88;0;90;0;0;0;12;0;0;0;0;0;0;5;4;93;0;2;63;5;16;55;0;0;0;0;0;9;0;0;28;0;0;10;1;1;60;0;15;55;563063;198983;145623;0;562824;0;0;79804;10064005073;0;202488;10309;45102;0;
56;0;0;190322;368918;178024;79997;297469;4;13;86;0;98;0;0;0;5;0;0;0;0;0;0;2;5;96;0;3;54;6;14;49;0;0;0;0;0;8;0;0;27;0;0;9;0;2;57;7;12;56;563886;199011;145490;0;562782;0;0;86236;10064037721;0;202537;10309;45053;0;
57;0;0;190322;368918;178024;79997;297438;8;9;116;0;124;0;0;0;9;0;0;0;0;0;0;5;3;125;0;1;39;7;10;41;0;0;0;0;0;4;0;0;20;0;0;11;1;3;64;13;16;53;563060;199017;145574;0;562972;0;0;82288;10063885135;0;202249;10309;45341;0;
58;0;0;190322;368918;178024;79997;297422;3;10;118;0;126;0;0;0;5;0;0;0;0;0;0;3;4;124;1;1;52;6;3;36;0;0;0;0;0;8;0;0;11;0;0;5;0;4;48;9;9;50;563927;199147;145580;0;563208;0;0;81696;10063925337;0;202399;10309;45191;0;
59;0;0;190322;368918;178024;79997;297405;5;14;115;0;120;0;0;0;14;0;0;0;0;0;0;6;11;117;0;0;50;3;8;42;0;0;0;0;0;8;0;0;12;0;0;5;0;5;58;9;13;61;562848;199104;145510;0;562618;0;0;87504;10063876523;0;202224;10309;45366;0;
60;0;0;190322;368918;178024;79997;297393;9;13;102;0;113;0;0;0;11;0;0;0;0;0;0;3;10;111;0;1;59;1;9;33;0;0;0;0;0;10;0;0;4;0;0;8;0;4;65;6;11;57;563945;198961;145467;0;563028;0;0;88184;10063853151;0;202097;10309;45493;0;
61;0;0;190322;368918;178024;79997;297380;5;9;94;0;102;0;0;0;6;0;0;0;0;0;0;0;5;103;0;3;54;6;12;39;0;0;0;0;0;6;0;0;7;0;0;6;0;2;56;6;7;61;562838;198931;145548;0;562601;0;0;87334;10063870265;0;201853;10309;45737;0;
62;0;0;190322;368918;178024;79997;297361;5;12;102;0;105;0;0;0;13;0;1;0;0;0;0;1;6;112;0;1;60;3;12;35;0;0;0;0;0;6;0;0;8;0;0;11;0;3;50;10;10;58;563880;198917;145552;0;562487;0;0;90318;10063812095;0;201771;10309;45819;0;
63;0;0;190322;368918;178024;79997;297356;3;14;103;0;112;0;0;0;8;0;0;0;0;0;0;0;7;113;0;3;64;4;9;39;0;0;0;0;0;4;0;0;2;0;0;3;0;1;66;10;7;61;563064;198969;145395;0;562277;0;0;91794;10063761225;0;201600;10309;45990;0;
64;0;0;190322;368918;178024;79997;297346;4;19;114;0;124;0;0;0;13;0;0;0;0;0;0;8;13;116;0;3;53;4;6;39;0;0;0;0;0;1;0;0;3;0;0;7;0;2;61;5;13;42;563772;198935;145443;0;562740;0;0;94714;10063770375;0;201480;10309;46110;0;
65;0;0;190322;368918;178024;79997;297341;8;17;113;0;125;0;0;0;12;0;1;0;0;0;0;2;12;124;1;1;71;9;7;48;0;0;0;0;0;8;0;0;0;0;0;5;0;1;66;4;9;57;562904;198801;145384;0;562366;0;0;91720;10063829589;0;201740;10309;45850;0;
66;0;0;190322;368918;178024;79997;297336;7;7;121;0;120;0;0;0;15;0;0;0;0;0;0;5;9;121;1;3;66;2;8;45;0;0;0;0;1;4;0;0;0;0;0;5;0;2;49;8;12;53;563598;198882;145583;0;562836;0;0;97310;10064058649;0;202353;10309;45237;0;
67;0;0;190322;368918;178024;79997;297332;12;24;132;0;151;0;0;0;17;0;0;0;0;0;0;2;22;144;0;0;41;8;9;60;0;0;0;0;0;4;0;0;0;0;0;4;1;2;56;4;9;46;562860;198852;145496;0;562336;0;0;97146;10064253929;0;202912;10309;44678;0;
68;0;0;190322;368918;178024;79997;297329;7;12;99;0;100;0;0;0;18;0;0;0;0;0;0;3;15;100;1;1;48;4;17;57;0;0;0;0;0;2;0;0;0;0;0;3;0;0;45;4;8;33;563411;198806;145457;0;562318;0;0;97618;10064376701;0;203449;10309;44141;0;
69;0;0;190322;368918;178024;79997;297326;10;14;120;0;129;0;0;0;15;0;0;0;0;0;0;8;11;125;0;2;49;2;11;59;0;0;0;0;0;2;0;0;0;0;0;3;0;3;49;4;11;41;562377;198717;145391;0;562438;0;0;99068;10064481189;0;203687;10309;43903;0;
