ChangePolicies;Population;Exposed;ExposedVAX;TotalExposed;SymptomaticNew;SymptomaticVAXNew;SymptomaticDaySnapshot;AsymptomaticNew;AsymptomaticVAXNew;AsymptomaticDaySnapshot;InfectedRetiredNew;InfectedWorkerNew;InfectedStudentNew;Death;DeathVAX;TotDeathRetired;TotDeathWorker;TotDeathStudent;Recovered;RecoveredVAX;TotalRecovered;IntensiveCareNOVAXNew;IntensiveCareVAXNew;IntensiveNew;IntensiveRetiredNew;IntensiveWorkerNew;IntensiveStudentNew;IntensiveCareDaySnapshot;CriticalsNew;CriticalDaySnapshot;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;EntityCount;DeathCriticial;DeathIntensive;DeathSymptomatic;DeathAsymptomatic;InfectionsAtHome;InfectionsAtWork;InfectionsAtSchool;InfectionsAtOAHome;InfectionsAtOutdoor;InfectionsAtIndoor;1Doses;2Doses;3Doses;4Doses;Days;Hours;Minutes
0;886000;1089;0;1089;36;0;265;86;0;578;42;76;4;0;0;0;0;0;326;0;326;11;0;11;6;5;0;70;0;0;885599;243448;176950;0;668180;0;886000;0;0;0;0;108;0;0;0;6;8;0;0;0;0;10;0;0
0;885999;1058;0;1058;27;0;255;65;0;553;52;36;4;1;0;1;0;0;452;0;452;10;0;10;10;0;0;79;0;0;885626;242538;175559;0;665571;0;886000;0;1;1;0;83;0;0;0;4;5;0;0;0;0;11;0;0
0;885999;1006;0;1006;51;0;281;83;0;572;77;51;6;1;0;1;0;0;541;0;541;25;0;25;23;1;1;104;0;0;885680;240466;174054;0;655979;0;885999;0;1;1;0;123;0;0;0;8;3;0;0;0;0;12;0;0
0;885996;976;0;976;63;0;331;93;0;616;112;43;1;4;0;4;0;0;598;0;598;5;0;5;5;0;0;106;26;26;885573;238824;172769;0;652759;0;885999;0;4;4;0;145;0;0;0;7;4;0;0;0;0;13;0;0
0;885993;931;0;931;63;0;378;127;0;710;148;35;7;7;0;7;0;0;631;0;631;4;0;4;3;1;0;106;26;52;885655;237118;171370;0;644214;0;885996;0;7;7;0;175;0;0;0;13;2;0;0;0;0;14;0;0
0;885987;1828;0;1828;92;0;451;95;0;768;161;22;4;13;0;12;1;0;647;0;647;5;0;5;5;0;0;105;38;90;885650;235540;169924;0;638807;0;885993;0;13;13;0;174;0;0;0;5;8;0;0;0;0;15;0;0
0;885980;2638;0;2638;69;0;492;110;0;829;156;18;5;20;0;18;2;0;656;0;656;10;0;10;10;0;0;105;22;112;885639;234111;168769;0;631919;0;885987;0;20;20;0;155;0;0;0;15;9;0;0;0;0;16;0;0
0;885972;3158;0;3158;75;0;537;94;0;878;142;21;6;28;0;25;3;0;623;0;623;11;0;11;10;1;0;106;16;128;885611;232482;167260;0;626327;0;885980;0;28;28;0;150;0;0;0;8;11;0;0;0;0;17;0;0
0;885968;3629;0;3629;69;0;586;92;0;901;144;12;5;32;0;29;3;0;585;0;585;6;0;6;6;0;0;105;26;154;885669;231218;166061;0;620586;0;885972;0;32;32;0;136;0;0;0;13;12;0;0;0;0;18;0;0
0;885955;3894;0;3894;109;0;650;136;0;963;221;15;9;45;0;42;3;0;583;0;583;18;0;18;17;0;1;106;34;187;885612;229624;164641;0;613587;0;885968;1;44;45;0;211;0;0;0;15;19;0;0;0;0;19;0;0
