Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
33;0;0;190297;368877;177732;80192;294711;253;333;3205;0;3510;5;5;0;0;0;67;0;40;0;164;7;2;5;3;21;108;243;310;3092;0;0;0;0;0;0;27;79;1569;125;159;546;7;17;783;0;1;8;6;8;394;0;0;8;11;14;379;43;52;230;564014;199978;146675;0;563254;0;0;47310;10064392093;0;203698;10208;43900;0;
34;0;0;190292;368872;177729;80192;294301;309;345;3433;0;3833;2;2;0;0;0;118;0;52;0;80;5;0;7;5;13;37;299;332;3389;0;0;0;0;0;0;32;84;1653;141;149;574;6;19;863;0;0;12;5;5;399;0;0;11;11;21;377;57;54;225;562411;200506;145981;0;561486;0;0;49884;10064291361;0;203836;10208;43762;0;
35;0;0;190287;368869;177728;80191;293950;278;299;1792;0;2023;6;8;0;0;0;93;0;51;0;188;10;4;5;7;19;73;261;276;1714;0;0;0;0;0;0;41;87;1610;180;161;582;12;15;826;0;0;12;5;3;341;0;0;10;6;17;344;60;54;237;563109;200070;146662;0;561706;0;0;54094;10064289665;0;203385;10208;44213;0;
36;0;0;190284;368861;177724;80191;293562;226;360;2188;0;2464;6;5;0;0;0;150;1;61;0;87;8;5;6;28;61;314;190;294;1868;0;0;0;0;0;0;38;99;1713;170;172;562;10;15;906;0;0;9;3;8;380;0;0;8;9;27;372;70;42;212;561291;200249;145771;0;561095;0;0;83060;10064124699;0;202986;10208;44612;0;
37;0;0;190281;368852;177721;80187;293132;292;389;2503;0;2846;3;3;0;0;0;133;0;60;0;139;5;8;11;16;40;110;271;341;2382;0;0;0;0;0;0;34;85;1823;159;155;547;10;15;915;0;0;9;3;9;422;0;0;8;10;28;424;70;68;231;562442;199878;146559;0;561546;0;0;85912;10064071935;0;202574;10208;45024;0;
38;0;0;190277;368850;177719;80187;292629;306;386;2163;0;2527;5;7;0;0;0;162;0;67;0;87;10;7;14;6;26;26;290;353;2123;0;0;0;0;0;0;43;120;1951;198;163;577;15;19;994;0;0;9;4;2;497;0;0;6;14;35;527;80;81;281;560056;200404;145874;0;560131;0;0;53510;10063923255;0;202243;10208;45355;0;
39;0;0;190273;368843;177716;80186;292034;274;329;1433;0;1665;9;7;0;0;0;120;2;25;0;208;10;12;8;13;28;42;251;289;1383;0;0;0;0;0;0;44;129;2033;196;209;575;8;19;1044;0;1;13;4;7;586;0;0;9;11;44;596;82;85;294;561089;200039;146397;0;560448;0;0;58674;10063972167;0;202356;10208;45242;0;
40;0;0;190268;368831;177710;80183;291320;206;424;1302;0;1556;9;10;0;0;0;157;0;49;0;151;12;11;13;5;51;23;189;362;1266;0;0;0;0;0;0;48;122;1952;223;189;657;9;25;1043;0;1;10;5;12;708;0;0;6;21;40;698;106;87;321;558689;200172;145965;0;558659;0;0;57330;10064115601;0;202879;10208;44719;0;
41;0;0;190265;368811;177698;80178;290607;297;378;1360;0;1647;11;19;0;0;0;152;1;42;0;163;24;13;23;15;59;20;258;306;1317;0;0;0;0;0;0;42;123;1867;230;201;641;11;19;1035;1;1;10;3;20;703;0;0;10;21;52;715;98;108;404;559821;199830;146407;0;558865;0;0;61800;10064353335;0;203017;10208;44581;0;
42;0;0;190258;368795;177690;80175;289796;309;472;1771;0;2121;6;12;0;0;0;192;1;42;0;178;16;15;19;11;36;29;282;421;1723;0;0;0;0;0;0;42;130;1669;187;206;678;12;20;919;0;0;6;7;16;808;0;0;3;22;68;708;137;117;420;557459;200168;145805;0;557596;0;0;60112;10064243645;0;202954;10208;44644;0;
