Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
40;0;0;190320;368900;178152;80048;298415;23;58;31;0;47;0;0;0;65;0;0;0;0;0;0;4;18;22;15;44;30;1;7;5;0;2;4;0;0;1;0;0;0;2;21;16;21;54;19;357;162;43;0;368;72;0;13130;10076372063;0;244345;13645;29;0;
41;0;0;190320;368900;178152;80048;298412;21;63;34;0;41;0;0;0;77;0;0;0;0;0;0;4;24;20;8;47;16;0;0;4;2;2;5;0;0;1;0;0;2;7;21;19;14;54;32;287;135;39;0;298;61;0;13130;10076371457;0;244343;13645;31;0;
42;0;0;190320;368898;178151;80047;298406;18;58;36;0;44;0;0;0;68;0;0;0;0;0;0;3;16;23;18;64;17;1;2;2;1;3;8;0;2;3;0;0;3;1;21;18;14;48;30;246;110;28;0;246;48;0;13130;10076376865;0;244356;13644;19;0;
43;0;0;190320;368897;178151;80047;298404;16;63;43;0;55;0;0;0;67;0;0;0;0;0;0;3;17;19;14;69;15;0;0;1;0;3;8;0;0;0;0;1;2;2;17;21;25;53;21;197;93;23;0;198;41;0;13130;10076377049;0;244361;13644;14;0;
44;0;0;190320;368893;178150;80046;298400;23;65;31;0;47;0;0;0;72;0;0;0;0;0;0;1;16;19;17;59;27;0;0;0;0;2;9;0;4;1;0;0;3;0;27;20;19;42;17;155;72;20;0;163;40;0;13130;10076378957;0;244367;13642;10;0;
45;0;0;190320;368893;178150;80046;298396;17;70;38;0;55;0;0;0;70;0;0;0;0;0;0;4;13;17;7;45;20;0;0;0;1;3;7;0;0;2;0;0;2;0;18;17;21;46;39;131;57;17;0;129;23;0;13130;10076379567;0;244369;13642;8;0;
46;0;0;190320;368893;178150;80046;298395;19;65;29;0;52;0;0;0;61;0;0;0;0;0;0;4;19;20;15;38;14;0;0;0;1;5;5;0;0;0;0;0;1;2;19;20;18;52;24;102;43;11;0;105;22;0;13130;10076378957;0;244367;13642;10;0;
47;0;0;190320;368893;178150;80046;298390;12;60;28;0;55;0;0;0;45;0;0;0;0;0;0;2;12;23;20;46;17;0;0;0;0;1;11;0;0;2;0;0;3;1;15;13;14;38;21;89;37;10;0;89;25;0;13130;10076380509;0;244372;13642;5;0;
48;0;0;190320;368893;178150;80046;298387;15;58;38;0;51;0;0;0;60;0;0;0;0;0;0;1;9;16;20;65;13;0;0;4;1;1;5;0;0;2;0;0;1;2;18;14;23;47;22;70;30;8;0;69;11;0;13130;10076380513;0;244372;13641;6;0;
49;0;0;190319;368892;178149;80046;298385;9;72;32;0;52;0;0;0;61;0;0;0;0;0;0;2;17;23;14;54;16;1;1;5;1;2;5;0;1;2;1;0;0;3;21;15;8;51;25;55;26;6;0;55;11;0;13130;10076380199;0;244371;13641;7;0;
50;0;0;190318;368889;178148;80046;298383;16;66;25;0;46;0;0;0;61;0;0;0;0;0;0;1;18;16;15;50;20;0;0;1;0;0;7;1;2;1;0;1;1;7;14;14;12;44;25;55;24;7;0;55;4;0;13130;10076379885;0;244370;13641;8;0;
51;0;0;190318;368888;178148;80046;298379;16;46;26;0;35;0;0;0;53;0;0;0;0;0;0;1;19;23;26;41;17;0;0;0;0;1;10;0;1;2;0;0;2;1;14;16;12;59;11;54;23;4;0;54;9;0;13130;10076380201;0;244371;13639;9;0;
52;0;0;190318;368888;178148;80046;298375;17;40;27;0;34;0;0;0;50;0;0;0;0;0;0;0;13;15;18;42;12;0;0;0;0;1;8;0;0;1;0;0;3;4;19;13;17;64;31;49;21;4;0;51;8;0;13128;10076381131;0;244374;13638;7;0;
53;0;0;190318;368888;178148;80046;298372;15;40;32;0;34;0;0;0;53;0;0;0;0;0;0;2;16;15;13;44;18;0;0;0;0;3;6;0;0;0;0;0;3;2;13;17;13;44;15;48;20;2;0;49;6;0;13130;10076381759;0;244376;13636;7;0;
