Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
40;0;0;190324;368930;178162;80053;298656;99;145;1459;0;1556;0;0;0;147;0;0;0;0;0;0;20;31;1278;154;158;1235;0;0;0;0;0;0;0;0;0;0;0;0;34;44;1224;150;75;216;123424;63915;0;0;10097;59308;0;88186;10072968511;0;232842;9981;15253;0;
41;0;0;190324;368930;178162;80053;298656;101;119;1356;0;1460;0;0;0;116;0;0;0;0;0;0;6;34;1150;156;145;1199;0;0;0;0;0;0;0;0;0;0;0;0;51;67;1735;206;110;355;122754;63921;0;0;10578;58106;0;91540;10072991133;0;232884;9981;15211;0;
42;0;0;190324;368930;178162;80053;298656;101;138;1285;0;1407;1;0;0;116;0;0;0;0;0;0;11;29;1095;151;149;1163;0;0;0;0;0;0;0;0;0;0;0;0;52;72;2203;235;125;469;124231;63913;0;0;10323;59683;0;91374;10072902339;0;232572;9981;15523;0;
43;0;0;190324;368930;178162;80053;298656;89;138;1170;0;1296;0;0;0;101;0;0;0;0;0;0;5;23;1039;140;151;1013;0;0;0;0;0;0;0;0;0;0;0;0;58;76;2597;260;131;679;123157;63919;0;0;10285;58064;0;66276;10072823773;0;232311;9981;15784;0;
44;0;0;190324;368930;178162;80053;298656;91;114;1037;0;1149;0;0;0;93;0;0;0;0;0;0;7;26;941;127;130;955;0;0;0;0;0;0;0;0;0;0;0;0;44;77;2558;249;139;850;123084;63914;0;0;10503;58574;0;109612;10072752933;0;232072;9981;16023;0;
45;0;0;190324;368930;178162;80053;298656;70;100;1032;0;1126;0;0;0;76;0;0;0;0;0;0;5;19;886;122;134;906;0;0;0;0;0;0;0;0;0;0;0;0;46;69;2301;229;162;1017;123423;63911;0;0;10300;58222;0;96682;10072807241;0;232220;9981;15875;0;
46;0;0;190324;368930;178162;80053;298656;98;105;1053;0;1173;0;0;0;83;0;0;0;0;0;0;5;22;805;142;128;799;0;0;0;0;0;0;0;0;0;0;0;0;42;53;2109;209;153;1134;123946;63918;0;0;10498;58967;0;116830;10072919387;0;232565;9981;15530;0;
47;0;0;190324;368930;178162;80053;298656;129;124;1182;0;1319;0;0;0;116;0;0;0;0;0;0;4;21;743;113;124;725;0;0;0;0;0;0;0;0;0;0;0;0;27;51;1769;237;145;1185;122660;63915;0;0;10549;57225;0;100840;10072990245;0;232837;9981;15259;0;
48;0;0;190324;368930;178162;80053;298656;137;141;1422;0;1611;0;0;0;88;0;0;0;1;0;0;2;23;643;87;97;663;0;0;0;0;0;0;0;0;0;0;0;0;22;49;1540;181;137;1203;123521;63914;0;0;10555;58109;0;103140;10072973751;0;232759;9981;15337;0;
49;0;0;190324;368930;178162;80053;298656;194;160;1741;0;2007;0;0;0;88;0;0;0;0;0;0;9;23;652;94;105;585;0;0;0;0;0;0;0;0;0;0;0;0;17;40;1417;163;136;1200;122217;63913;0;0;10638;56940;0;68812;10072882857;0;232461;9981;15635;0;
50;0;0;190324;368930;178162;80053;298656;254;181;2253;0;2565;0;0;0;123;0;0;0;0;0;0;9;19;678;103;120;518;0;0;0;0;0;0;0;0;0;0;0;0;14;28;1228;154;154;1188;124245;63912;0;0;10762;58206;0;124494;10072858851;0;232359;9981;15737;0;
51;0;0;190324;368930;178162;80053;298656;271;232;2855;0;3260;0;0;0;98;0;0;0;0;0;0;12;33;751;96;96;576;0;0;0;0;0;0;0;0;0;0;0;0;8;34;1156;143;149;1147;122981;63906;0;0;10972;57056;0;69068;10072811459;0;232170;9981;15926;0;
52;0;0;190324;368930;178162;80053;298656;325;226;3111;0;3580;0;0;0;81;1;0;0;0;0;0;8;30;821;111;85;484;0;0;0;0;0;0;0;0;0;0;0;0;10;27;1050;151;154;1136;123315;63905;0;0;11033;57127;0;74598;10072905385;0;232470;9981;15626;0;
53;0;0;190324;368930;178162;80053;298656;269;234;3247;0;3650;0;0;0;99;1;0;0;0;0;0;30;30;1040;114;102;448;0;0;0;0;0;0;0;0;0;0;0;0;4;35;1014;114;148;1029;123531;63910;0;0;11431;57511;0;109476;10072933961;0;232554;9981;15542;0;
54;0;0;190324;368930;178162;80053;298656;271;194;3078;0;3464;1;0;0;77;0;0;0;1;0;0;30;44;1209;122;106;468;0;0;0;0;0;0;0;0;0;0;0;0;9;26;938;144;131;953;123394;63907;0;0;11406;56650;0;118224;10072900317;0;232428;9981;15669;0;
55;0;0;190324;368930;178162;80053;298656;246;242;3090;0;3490;0;0;0;88;0;0;0;0;0;0;38;52;1524;151;99;399;0;0;0;0;0;0;0;0;0;0;0;0;5;20;898;136;113;888;123970;63899;0;0;11467;57196;0;109146;10072909639;0;232427;9981;15671;0;
56;0;0;190324;368930;178162;80053;298656;200;177;2977;0;3287;0;0;0;67;0;0;0;0;0;0;44;59;1749;194;134;452;0;0;0;0;0;0;0;0;0;0;0;0;8;17;802;111;119;732;123414;63908;0;0;11547;56212;0;135380;10072953265;0;232552;9981;15546;0;
57;0;0;190324;368930;178162;80053;298656;218;189;2873;0;3184;0;0;0;96;0;0;0;0;0;0;36;62;2016;202;128;480;0;0;0;0;0;0;0;0;0;0;0;0;7;28;808;119;106;717;122388;63906;0;0;11639;55707;0;80710;10072904087;0;232464;9981;15634;0;
58;0;0;190324;368930;178162;80053;298656;184;197;2606;0;2922;0;0;0;65;0;0;0;0;0;0;53;74;2122;178;138;545;0;0;0;0;0;0;0;0;0;0;0;0;8;33;840;123;116;677;123092;63905;0;0;11670;56077;0;82992;10072918593;0;232502;9981;15596;0;
59;0;0;190324;368930;178162;80053;298656;191;174;2405;0;2687;0;0;0;83;0;0;0;0;0;0;43;67;2225;215;129;565;0;0;0;0;0;0;0;0;0;0;0;0;7;24;813;100;128;617;123162;63903;0;0;11566;56592;0;82804;10072934401;0;232531;9981;15567;0;
60;0;0;190324;368930;178162;80053;298656;175;164;2439;0;2708;0;0;0;70;0;0;0;0;0;0;45;63;2191;174;142;644;0;0;0;0;0;0;0;0;0;0;0;0;8;30;902;107;117;617;122144;63899;0;0;11637;54862;0;134686;10072911547;0;232431;9981;15668;0;
61;0;0;190324;368930;178162;80053;298656;159;145;2270;0;2526;0;0;0;48;0;0;0;0;0;0;27;66;2141;192;121;753;0;0;0;0;0;0;0;0;0;0;0;0;22;31;931;104;113;561;122814;63908;0;0;11546;56017;0;84828;10072900491;0;232390;9981;15709;0;
62;0;0;190324;368930;178162;80053;298656;150;178;2191;0;2448;0;0;0;71;0;0;0;0;0;0;53;51;2026;201;155;763;0;0;0;0;0;0;0;0;0;0;0;0;24;42;1031;132;91;507;123042;63898;0;0;11563;56265;0;131738;10072860843;0;232526;9981;15573;0;
63;0;0;190324;368930;178162;80053;298656;142;152;2099;0;2307;0;0;0;86;0;0;0;0;0;0;34;52;1892;192;139;844;0;0;0;0;0;0;0;0;0;0;0;0;32;41;1216;134;102;506;123002;63897;0;0;11710;55721;0;143288;10072835389;0;232406;9981;15693;0;
64;0;0;190324;368930;178162;80053;298656;158;157;2028;0;2247;1;0;0;95;0;0;0;0;0;0;29;51;1697;167;149;892;0;0;0;0;0;0;0;0;0;0;0;0;35;34;1347;156;104;488;122834;63896;0;0;11710;55891;0;126074;10072859999;0;232481;9981;15618;0;
65;0;0;190324;368930;178162;80053;298656;148;131;1915;0;2104;0;0;0;90;0;0;0;0;0;0;20;39;1593;162;128;911;0;0;0;0;0;0;0;0;0;0;0;0;33;55;1518;176;117;508;122830;63902;0;0;11459;55563;0;131364;10072857493;0;232464;9981;15635;0;
66;0;0;190324;368930;178162;80053;298656;144;147;1849;0;2026;0;0;0;114;0;0;0;0;0;0;15;34;1429;160;134;930;0;0;0;0;0;0;0;0;0;0;0;0;48;61;1675;169;146;521;122536;63900;0;0;11583;56295;0;154760;10072922721;0;232656;9981;15443;0;
