Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
10;0;0;190324;368930;178442;79870;298655;52;64;365;0;472;0;0;0;4;0;1;0;1;0;3;1;1;1;4;7;42;47;56;322;0;0;0;0;0;0;6;24;863;60;71;255;2;3;407;0;0;1;0;0;0;0;0;1;6;6;9;14;23;16;571613;200661;143604;0;571186;0;0;18246;10066900943;0;213477;10409;34271;0;
11;0;0;190324;368929;178442;79870;298650;39;31;360;0;427;0;0;0;2;0;0;0;0;0;1;0;0;4;3;4;54;36;27;302;0;0;0;0;0;0;4;31;1097;70;77;273;1;4;520;0;0;6;0;0;1;0;1;4;4;11;13;10;26;18;568331;199061;146414;0;565693;0;0;19520;10066013495;0;210215;10409;37536;0;
12;0;0;190324;368928;178442;79870;298642;27;36;287;0;344;0;0;0;0;0;0;0;0;0;6;0;1;1;3;5;113;24;30;173;0;0;0;0;0;0;10;22;1204;61;77;284;4;2;651;0;0;6;0;1;1;0;0;7;1;6;11;8;11;20;568488;200341;144112;0;566882;0;0;16356;10064727935;0;206616;10409;41136;0;
13;0;0;190324;368928;178442;79870;298626;34;35;521;0;587;0;0;0;0;0;1;0;1;0;1;0;0;0;7;8;197;27;27;324;0;0;0;0;0;0;11;21;1095;69;82;286;3;2;571;0;0;12;0;0;10;0;0;6;3;4;33;8;14;26;565547;198656;146465;0;562776;0;0;19742;10063709145;0;202938;10409;44815;0;
14;0;0;190324;368928;178442;79870;298591;20;34;384;0;431;0;0;0;1;0;0;0;1;0;5;0;1;2;3;15;100;17;18;282;0;0;0;0;0;0;10;35;785;64;54;247;5;6;427;0;0;20;0;0;20;0;0;15;3;5;41;14;20;57;565182;199755;144247;0;563922;0;0;19644;10063258481;0;201630;10409;46123;0;
15;0;0;190324;368927;178441;79870;298517;23;20;179;0;217;0;0;0;2;0;0;2;0;0;1;0;0;1;7;3;35;16;17;143;0;0;0;0;0;0;16;27;498;68;47;205;4;2;284;0;1;22;0;1;58;0;0;16;0;8;77;17;27;98;563992;198483;146424;0;561024;0;0;22612;10063170585;0;201070;10409;46684;0;
16;0;0;190321;368926;178441;79869;298403;22;23;276;0;314;0;0;0;0;0;0;0;2;0;5;0;0;1;8;7;32;14;16;243;0;0;0;0;0;0;7;23;362;44;42;177;1;3;201;0;0;17;3;0;102;0;1;12;3;7;146;36;37;153;563443;199540;144696;0;563055;0;0;21162;10063319973;0;201782;10409;45973;0;
17;0;0;190321;368923;178440;79869;298240;38;52;808;0;888;0;0;0;6;0;0;0;1;0;3;3;1;3;7;6;16;28;45;789;0;0;0;0;0;0;5;16;309;43;35;168;1;2;169;0;0;9;0;3;157;0;0;6;3;8;211;44;40;167;562912;198423;146373;0;561103;0;0;26448;10063682311;0;202505;10409;45250;0;
18;0;0;190317;368919;178438;79868;297974;40;48;767;0;847;0;0;0;5;0;1;0;1;0;1;0;0;2;1;8;16;39;40;749;0;0;0;0;0;0;9;18;216;29;36;156;7;4;121;0;1;5;4;4;260;0;0;6;0;12;244;38;50;195;561883;199251;144767;0;561142;0;0;27352;10064040519;0;203913;10409;43842;0;
19;0;0;190316;368918;178437;79868;297638;37;52;496;0;572;0;0;0;10;0;0;0;1;0;2;4;5;3;3;4;12;30;43;481;0;0;0;0;0;0;2;12;212;21;23;154;0;1;125;0;0;3;1;1;334;0;0;2;3;14;341;64;51;240;561981;198367;146263;0;560935;0;0;27098;10064325825;0;204519;10409;43236;0;
20;0;0;190315;368915;178436;79867;297233;39;44;983;0;1051;0;0;0;12;0;1;0;1;0;1;1;2;6;3;3;20;35;39;957;0;0;0;0;0;0;7;14;194;20;18;160;1;1;112;0;0;2;1;3;403;0;0;2;6;23;415;61;87;245;561041;199335;144721;0;560158;0;0;27212;10064518041;0;205531;10409;42225;0;
21;0;0;190313;368913;178436;79866;296755;22;32;579;0;629;0;0;0;1;0;0;0;1;0;2;0;0;0;7;5;79;15;27;500;0;0;0;0;0;0;3;12;245;18;17;118;0;4;123;0;0;7;2;2;472;0;0;6;6;17;441;63;74;270;560683;198551;146253;0;559437;0;0;32680;10064641005;0;205845;10409;41912;0;
22;0;0;190312;368911;178435;79866;296299;27;49;608;0;678;0;0;0;6;0;0;0;0;0;0;2;0;9;3;11;83;22;38;516;0;0;0;0;0;0;5;9;346;23;16;125;1;2;178;0;0;11;1;2;447;0;0;9;7;18;455;66;71;272;560461;199155;144965;0;559585;1;0;31660;10065031157;0;206757;10409;41000;0;
23;0;0;190308;368909;178435;79866;295838;20;27;428;0;473;0;0;0;0;0;0;0;0;0;2;1;1;0;1;4;86;18;22;342;0;0;0;0;0;0;6;10;443;27;29;107;2;5;194;1;0;12;4;2;449;0;0;12;7;37;431;57;76;233;560155;198595;146014;0;559136;0;0;34108;10064911611;0;206667;10409;41091;0;
24;0;0;190302;368905;178434;79865;295404;25;45;722;0;778;0;0;0;13;0;0;0;0;0;1;2;6;15;4;7;116;19;32;591;0;0;0;0;0;0;9;10;507;26;33;124;3;2;201;0;0;14;6;4;422;0;0;12;5;19;335;70;60;207;558869;199033;144803;0;559070;1;0;35422;10065051085;0;206587;10408;41172;0;
