Days;Hours;Minutes;Students;Workers;OccupiedWorkers;EssentialJobWorkers;Retired;ExposedStudentsByDay;ExposedWorkersByDay;ExposedRetiredByDay;ExposedVaccinatedByDay;ExposedAtHome;ExposedAtWork;ExposedAtSchool;ExposedAtRetireHome;ExposedAtFriendsHome;ExposedAtPark;ExposedAtPub;ExposedOnRoad;ExposedAtSupermarket;ExposedAtHospital;ExposedAtGym;StudentsExposedByStudent;WorkersExposedByStudent;RetiredExposedByStudent;StudentsExposedByWorker;WorkersExposedByWorker;RetiredExposedByWorker;StudentsExposedByRetired;WorkersExposedByRetired;RetiredExposedByRetired;StudentsExposedTwice;StudentsExposedThriceOrMore;WorkersExposedTwice;WorkersExposedThriceOrMore;RetiredExposedTwice;RetiredExposedThriceOrMore;SymptomaticStudentsByDay;SymptomaticWorkersByDay;SymptomaticRetiredByDay;AsymptomaticStudentsByDay;AsymptomaticWorkersByDay;AsymptomaticRetiredByDay;CriticalStudentsByDay;CriticalWorkersByDay;CriticalRetiredByDay;IntensiveStudentsByDay;IntensiveWorkersByDay;IntensiveRetiredByDay;DeathsCriticalStudentsByDay;DeathsCriticalWorkersByDay;DeathsCriticalRetiredByDay;DeathsIntensiveStudentsByDay;DeathsIntensiveWorkersByDay;DeathsIntensiveRetiredByDay;RecoveredSymptomaticStudentsByDay;RecoveredSymptomaticWorkersByDay;RecoveredSymptomaticRetiredByDay;RecoveredAsymptomaticStudentsByDay;RecoveredAsymptomaticWorkersByDay;RecoveredAsymptomaticRetiredByDay;PeopleVisitedHome;PeopleVisitedWork;PeopleVisitedSchool;PeopleVisitedRetirementHome;PeopleVisitedIndoor;PeopleVisitedOutdoor;CompletedDayWorkCounter;MaxTimeAtWork;MinTimeAtWork;TotalTimeAtWork;EntitiesWorked;EntitiesNotStartedWork;EntitiesNotCompletedWork;NonWorkersBeenToWork;
119;0;0;189314;366366;176663;79610;265737;12;25;23;0;46;4;3;0;0;0;2;0;1;0;4;3;2;2;3;9;7;6;14;14;0;0;0;0;0;0;4;10;17;27;39;4;0;0;0;2;0;5;2;6;14;0;1;3;7;34;26;55;92;26;532586;192668;141624;0;531653;0;0;174984;10065725121;0;204836;10190;42814;0;
120;0;0;189314;366362;176662;79608;265713;8;18;16;0;33;5;1;0;0;0;0;1;0;0;2;1;1;1;4;10;7;3;7;8;0;0;0;0;0;0;2;8;9;29;25;6;0;0;0;2;1;6;0;4;17;0;0;7;7;28;24;53;76;18;531802;192692;141143;0;531774;0;0;172122;10065696675;0;204675;10190;42975;0;
121;0;0;189313;366359;176661;79607;265699;10;10;9;0;23;3;3;0;0;0;0;0;0;0;0;4;0;0;2;5;5;4;5;4;0;0;0;0;0;0;5;8;12;22;23;6;0;0;0;2;1;11;1;2;8;0;1;6;12;26;21;55;76;23;532255;192604;141567;0;531618;0;0;176954;10065716163;0;204557;10190;43093;0;
122;0;0;189311;366359;176661;79607;265679;5;14;7;0;23;2;1;0;0;0;0;0;0;0;0;2;1;0;2;12;5;1;1;2;0;0;0;0;0;0;4;11;6;12;18;9;0;0;0;1;0;2;2;0;15;0;0;5;7;30;21;42;75;23;531700;192580;141114;0;531534;0;0;179436;10065742641;0;204596;10190;43054;0;
123;0;0;189311;366351;176660;79606;265666;8;9;6;0;18;1;2;0;0;0;0;0;0;0;2;3;1;1;2;6;1;3;2;4;0;0;0;0;0;0;1;13;7;18;16;5;0;0;0;0;4;5;0;7;6;0;1;7;5;26;14;48;69;10;532198;192630;141613;0;531417;0;0;176572;10065705195;0;204571;10190;43079;0;
124;0;0;189311;366348;176659;79605;265654;5;7;2;0;9;3;1;0;0;0;0;0;0;0;1;1;0;0;3;5;1;1;2;1;0;0;0;0;0;0;3;6;11;7;13;6;0;0;0;1;2;6;0;3;7;0;0;5;4;28;9;28;65;13;531614;192691;141043;0;531211;0;0;180430;10065599541;0;204254;10190;43396;0;
125;0;0;189308;366347;176658;79605;265639;13;13;8;0;31;2;1;0;0;0;0;0;0;0;0;2;2;2;7;9;2;4;2;4;0;0;0;0;0;0;3;7;12;13;13;6;0;0;0;2;1;6;3;1;7;0;0;8;8;15;21;30;50;16;532242;192655;141545;0;531395;0;0;180976;10065566209;0;203918;10190;43732;0;
126;0;0;189308;366345;176657;79604;265628;7;5;7;0;17;0;2;0;0;0;0;0;0;0;0;2;0;0;3;2;3;2;3;4;0;0;0;0;0;0;1;6;13;9;16;1;0;0;0;1;1;6;0;2;5;0;0;6;3;16;13;30;42;12;531542;192476;140953;0;531012;0;0;183998;10065579239;0;203829;10190;43821;0;
127;0;0;189308;366343;176657;79604;265617;6;9;2;0;14;3;0;0;0;0;0;0;0;0;0;0;0;0;4;7;1;2;2;1;0;0;0;0;0;0;0;7;3;9;9;6;0;0;0;0;3;1;0;2;4;0;0;7;4;17;15;36;41;11;532129;192517;141486;0;531237;0;0;182376;10065547579;0;203720;10190;43930;0;
128;0;0;189307;366343;176657;79604;265610;2;2;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;1;5;2;7;12;5;0;0;0;1;1;1;1;0;2;0;0;5;4;11;10;28;36;5;531344;192504;141044;0;531022;0;0;197580;10065560465;0;203812;10190;43838;0;
129;0;0;189307;366342;176656;79604;265604;1;4;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;3;0;0;0;0;0;0;2;3;8;6;9;1;0;0;0;0;0;4;0;0;1;0;1;5;5;25;11;27;29;6;532025;192468;141579;0;531236;0;0;198686;10065617755;0;203772;10190;43878;0;
130;0;0;189307;366341;176655;79604;265597;5;10;7;0;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;4;8;5;0;0;0;0;0;0;2;3;5;5;6;3;0;0;0;1;1;4;0;0;1;0;1;6;4;10;7;24;29;9;531286;192437;140976;0;530752;0;0;203576;10065613641;0;203896;10190;43754;0;
